"Datum","Warengruppe","Umsatz","KielerWoche","Bewoelkung","Temperatur","Windgeschwindigkeit","Windspitze","Niederschlagsmenge","Niederschlagsform","Sonnenscheindauer","Relative_Feuchte","Max-Temperatur","Min_Temperatur","Min_Temperatur_Boden","Uebernachtungen","Ankuenfte","Aufenthaltsdauer","Schleswig-Holstein.Feiertage","Baden-Wuerttemberg.Ferien","Bayern.Ferien","Berlin.Ferien","Brandenburg.Ferien","Bremen.Ferien","Hamburg.Ferien","Hessen.Ferien","Mecklenburg-Vorpommern.Ferien","Niedersachsen.Ferien","Nordrhein-Westfalen.Ferien","Rheinland-Pfalz.Ferien","Saarland.Ferien","Sachsen.Ferien","Sachsen-Anhalt.Ferien","Schleswig-Holstein.Ferien","Thueringen.Ferien","Wettergruppe","Wochentag","Warenname","Monat","KalenderWoche","Wochenende","Windchill"
2013-07-11,1,138.549392636714,0,0,21.375,12,9.3,0,0,14.8,71,22.9,9.9,8.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Dunst, Rauch, Staub oder Sand","Donnerstag","Brot","Jul","28",0,21.1164846665252
2013-07-12,1,101.447511461298,0,0,20.2875,7,7.4,0,0,14.4,75,22.5,9.8,7.8,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Nischt","Freitag","Brot","Jul","28",0,20.1549355860063
2013-07-13,1,141.233309883732,0,1,20.125,12,10,0,4,8.7,84,21.9,10,8.7,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Nischt","Samstag","Brot","Jul","28",1,19.4342302762483
2013-07-14,1,112.524365708762,0,5,17.6875,15,11.9,0,0,6.2,79,19.2,11.3,9.9,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,"Dunst, Rauch, Staub oder Sand","Sonntag","Brot","Jul","28",1,15.8645426274501
2013-07-15,1,161.264677322182,0,6,18.7375,12,9.3,0,0,7.9,80,21,10.5,9.3,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Nischt","Montag","Brot","Jul","29",0,17.5669279030409
2013-07-16,1,116.821358174215,0,1,21.1875,10,8.1,0,0,9.2,79,23.5,13.3,11.7,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Nischt","Dienstag","Brot","Jul","29",0,21.0200835724855
2013-07-17,1,150.572919592838,0,5,22.5125,8,7,0,0,9.1,79,24.5,11.6,10.4,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Nischt","Mittwoch","Brot","Jul","29",0,22.9277531203013
2013-07-18,1,101.90072129658,0,1,23.25,11,10.2,0,0,13.2,74,25.2,12.3,9.8,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Dunst, Rauch, Staub oder Sand","Donnerstag","Brot","Jul","29",0,23.6942000374161
2013-07-19,1,161.63511518654,0,3,22.475,16,12.2,0,0,9,79,25,12.9,11.3,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Dunst, Rauch, Staub oder Sand","Freitag","Brot","Jul","29",0,22.3853041569618
2013-07-20,1,134.328076682024,0,0,23.1875,8,5.6,0,0,15.6,63,24.9,10.5,9.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Nischt","Samstag","Brot","Jul","29",1,23.8054600050436
2013-07-21,1,66.2887578161955,0,0,26.375,8,7.6,0,0,15.7,63,29.1,11.3,9.1,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"Nischt","Sonntag","Brot","Jul","29",1,27.9501869607715
2013-07-22,1,131.223948997842,0,0,26.1,9,6.7,0,0,15.6,69,27.4,12.9,10.2,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Montag","Brot","Jul","30",0,27.5593383470643
2013-07-23,1,110.315246796665,0,0,24.95,12,10.1,0,0,15.3,71,26.7,12.9,9.9,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Dienstag","Brot","Jul","30",0,25.9277322227171
2013-07-24,1,141.891908195545,0,3,24.075,11,7.6,2.1,4,10.3,60,24.8,14.9,11.1,68368,34429,1.98576781201894,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Mittwoch","Brot","Jul","30",0,24.7962265856751
2013-07-25,1,167.701216640907,0,2,23.0875,9,6.8,0.1,4,8.2,83,25,16.2,14.4,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Donnerstag","Brot","Jul","30",0,23.6032628068631
2013-07-26,1,147.272084366206,0,3,27.2625,6,6,0,4,6.6,74,29.1,16.8,13.9,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Freitag","Brot","Jul","30",0,29.1473699736483
2013-07-27,1,161.403357795112,0,1,26.1625,10,14.5,24.4,4,8.8,82,27.2,18.5,16.1,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Samstag","Brot","Jul","30",1,27.611857757815
2013-07-28,1,86.0791432446654,0,4,24.8875,13,11.7,0,4,6.8,82,26.9,15.1,13.3,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Regen","Sonntag","Brot","Jul","30",1,25.8082520536124
2013-07-29,1,183.564164400591,0,1,22.7875,10,7.2,0.5,4,7,78,24.2,14.4,11.8,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Nischt","Montag","Brot","Jul","31",0,23.1400511496769
2013-07-30,1,132.111640117897,0,5,21.075,13,11.5,19.9,4,7.8,81,22.4,15.3,14.6,68368,34429,1.98576781201894,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Dienstag","Brot","Jul","31",0,20.6417838566512
2013-07-31,1,144.745431773143,0,5,20.275,16,15.1,0.4,4,9.3,81,22.4,14.6,12.2,68368,34429,1.98576781201894,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Regen","Mittwoch","Brot","Jul","31",0,19.3494762692862
2013-08-01,1,157.854023011106,0,6,23.4,7,7.9,0,4,5.3,83,27.6,14.5,12.5,74153,38440,1.92905827263267,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brot","Aug","31",0,24.1574786396949
2013-08-02,1,117.359342094889,0,0,31.4375,7,6.8,0,0,15,62,33.4,18.2,15.2,74153,38440,1.92905827263267,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"Nischt","Freitag","Brot","Aug","31",0,34.4933629108665
2013-08-03,1,186.027178770079,0,4,23.3625,11,13.7,2.3,4,7.1,74,26.2,15,12.3,74153,38440,1.92905827263267,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,"Regen","Samstag","Brot","Aug","31",1,23.844476384906
2013-08-04,1,104.708216687715,0,3,23.05,8,7,0,0,11.3,74,24.9,13,10.7,74153,38440,1.92905827263267,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,"Nischt","Sonntag","Brot","Aug","31",1,23.6266678618554
2013-08-05,1,146.775309890073,0,0,25.8,10,8.3,0,0,11.4,68,27.5,13.6,11,74153,38440,1.92905827263267,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,"Nischt","Montag","Brot","Aug","32",0,27.1315526036076
2013-08-06,1,131.956277381283,0,5,22.225,13,11.8,0,0,9.5,72,24.1,15.2,13.9,74153,38440,1.92905827263267,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,"Nischt","Dienstag","Brot","Aug","32",0,22.2001939357346
2013-08-07,1,160.593417296116,0,4,19.2125,8,8.1,13.4,4,8.7,75,20.4,10.4,8.7,74153,38440,1.92905827263267,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,"Nischt","Mittwoch","Brot","Aug","32",0,18.6367416837831
2013-08-08,1,153.099424561652,0,7,16.975,12,11.5,0,4,0.8,87,20,14.9,13.9,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Donnerstag","Brot","Aug","32",0,15.1949492127505
2013-08-09,1,125.620344387906,0,4,20.3375,10,7.3,0.2,4,9.4,71,22.7,12.4,9.5,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Freitag","Brot","Aug","32",0,19.8938507971026
2013-08-10,1,185.177162656408,0,7,19.3625,12,15,1.2,4,4.5,79,21.5,15.2,14.2,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Regen","Samstag","Brot","Aug","32",1,18.4080550981794
2013-08-11,1,73.2088330039992,0,7,16.3875,9,9.6,11.1,4,3.1,84,19,12.9,11.3,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Regen","Sonntag","Brot","Aug","32",1,14.8046881614365
2013-08-12,1,154.504729536697,0,7,16.45,11,12,2.9,4,2.3,87,18.8,12,10.4,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Regen","Montag","Brot","Aug","33",0,14.6108297002509
2013-08-13,1,134.064451548102,0,3,16.4,16,14.1,5.2,4,9.2,82,19.2,10.7,9,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Gewitter","Dienstag","Brot","Aug","33",0,14.0022794216758
2013-08-14,1,156.972510536869,0,4,18.2625,18,13.4,0,4,10.2,74,19.9,11.3,8.6,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Regen","Mittwoch","Brot","Aug","33",0,16.4221368930836
2013-08-15,1,164.763795399756,0,3,19.8,8,8.1,0.1,4,7.7,75,21.4,10,7.5,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Nischt","Donnerstag","Brot","Aug","33",0,19.4006717501329
2013-08-16,1,147.79799759804,0,4,23.575,11,10.5,8.2,4,5.5,80,25.9,16,15.1,74153,38440,1.92905827263267,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,"Bewölkung","Freitag","Brot","Aug","33",0,24.1283317079424
2013-08-17,1,221.630418006017,0,6,20.55,7,7.9,0.2,4,3.9,83,23.4,15.5,15,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,"Bewölkung","Samstag","Brot","Aug","33",1,20.4924994580041
2013-08-18,1,92.489778506026,0,7,18.5875,10,12.5,1,4,0.7,85,21,13.6,10.7,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Regen","Sonntag","Brot","Aug","33",1,17.5751362595495
2013-08-19,1,145.87913275728,0,5,18.4875,8,6.9,0,0,5.5,80,20.1,10.9,9,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Nischt","Montag","Brot","Aug","34",0,17.694019474245
2013-08-20,1,111.842396126739,0,7,17.775,8,7.7,0,4,4.7,81,19.5,9.7,7.2,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Regen","Dienstag","Brot","Aug","34",0,16.7675510959058
2013-08-21,1,125.336522713024,0,5,20.125,8,6.8,0,0,9.6,76,22.2,10.7,7.5,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Nischt","Mittwoch","Brot","Aug","34",0,19.8232713613051
2013-08-22,1,132.916428220302,0,4,21.6625,8,6.5,0,0,7.2,70,22.6,14.3,10.8,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Nischt","Donnerstag","Brot","Aug","34",0,21.8224925987739
2013-08-23,1,162.958958703106,0,1,22.0375,14,11,0,0,12.4,70,23.4,14.1,9.8,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Nischt","Freitag","Brot","Aug","34",0,21.8880143015951
2013-08-24,1,201.543109556297,0,0,20.85,16,13.6,0,0,13.5,73,22.1,14.3,12.1,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Dunst, Rauch, Staub oder Sand","Samstag","Brot","Aug","34",1,20.1429312853832
2013-08-25,1,83.0226725739551,0,0,21.3875,16,12.4,0,0,13.5,73,22.6,16.2,14.5,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Dunst, Rauch, Staub oder Sand","Sonntag","Brot","Aug","34",1,20.8846392352131
2013-08-26,1,165.829031676714,0,0,20.125,15,11.6,0,0,13.5,68,21.1,14.7,11.6,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Dunst, Rauch, Staub oder Sand","Montag","Brot","Aug","35",0,19.2091106635484
2013-08-27,1,118.473650434102,0,1,21.0875,12,9.2,0,0,11.1,76,22.7,12.5,9.8,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Nischt","Dienstag","Brot","Aug","35",0,20.7295661567615
2013-08-28,1,108.876991442649,0,0,21.3,7,7.6,0,0,11.1,75,23.2,11.1,8.2,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Nischt","Mittwoch","Brot","Aug","35",0,21.4569676637122
2013-08-29,1,178.178023803315,0,3,20.2125,11,9.3,0,0,8.5,77,21.6,8.9,7.5,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nischt","Donnerstag","Brot","Aug","35",0,19.6367386551897
2013-08-30,1,133.150828452892,0,6,19.7875,8,8.7,0,4,0.8,84,21.9,12.5,10.6,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Dunst, Rauch, Staub oder Sand","Freitag","Brot","Aug","35",0,19.384417918934
2013-08-31,1,130.821314898435,0,5,18.35,16,13.1,1.6,4,3.7,81,20.3,10,8,74153,38440,1.92905827263267,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Samstag","Brot","Aug","35",1,16.6931268675701
2013-09-01,1,95.9704314892471,0,7,15.8625,16,15.5,8.3,4,3.9,79,17.5,10,7.4,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Regen","Sonntag","Brot","Sep","35",1,13.2605714718459
2013-09-02,1,138.408723210465,0,7,16.575,17,14.2,4.8,4,0,96,17.4,12.6,12.1,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Regen","Montag","Brot","Sep","36",0,14.1543104435501
2013-09-03,1,138.825618927843,0,7,18.225,11,9.5,0,4,0.7,89,20.1,11.1,9.2,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Dienstag","Brot","Sep","36",0,16.9818565162021
2013-09-04,1,100.221969526295,0,7,18.125,5,4.3,0,4,2.4,90,19.2,10,8,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brot","Sep","36",0,17.7414942551202
2013-09-05,1,173.658100347255,0,0,21.7,8,7.4,0,0,12.3,78,23.5,14.8,13.3,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Donnerstag","Brot","Sep","36",0,21.8712540923707
2013-09-06,1,171.415179710314,0,0,24.7,9,8.4,0,0,12.4,66,26.7,15.9,12.8,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Freitag","Brot","Sep","36",0,25.720830212199
2013-09-07,1,186.034060963767,0,6,22.7625,7,5.8,0,0,6.4,66,24.5,16.2,12.7,59520,29594,2.01121849023451,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Samstag","Brot","Sep","36",1,23.337680664843
2013-09-08,1,88.8925958109828,0,7,20.1625,8,8.9,0.8,4,1.1,76,21.4,13.7,13,59520,29594,2.01121849023451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Sonntag","Brot","Sep","36",1,19.8720328549019
2013-09-09,1,169.359968504942,0,8,11.575,11,10.9,17.2,4,0,96,13.9,10,8.2,59520,29594,2.01121849023451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Montag","Brot","Sep","37",0,8.09885464235678
2013-09-10,1,89.6944536084346,0,6,13.5875,11,8.7,1.8,4,3.3,93,14.2,8.2,5.7,59520,29594,2.01121849023451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Dienstag","Brot","Sep","37",0,10.787131525231
2013-09-11,1,103.363686559795,0,6,13.9,8,6.7,0.1,4,1.1,90,15,9.4,7.7,59520,29594,2.01121849023451,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Mittwoch","Brot","Sep","37",0,11.7288634242366
2013-09-12,1,106.474399987548,0,6,16.1125,6,4.9,0.2,4,1.9,89,18,8.3,7.1,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Donnerstag","Brot","Sep","37",0,14.9894366768945
2013-09-13,1,122.564626199915,0,6,17.4375,5,6.2,0,4,3.3,90,20,11.5,8.5,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Freitag","Brot","Sep","37",0,16.8813410048582
2013-09-14,1,174.938807466572,0,5,17.625,10,10.9,6,4,4.1,91,19.7,11.7,7.7,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Samstag","Brot","Sep","37",1,16.2998432638953
2013-09-15,1,55.1960062296304,0,7,14.8625,10,12.4,6.7,4,4,84,16.4,11.3,9.9,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Sonntag","Brot","Sep","37",1,12.6395867439008
2013-09-16,1,146.760234890658,0,3,13.1375,13,15.1,1.9,4,4.8,86,14.7,7.5,6,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Montag","Brot","Sep","38",0,9.88536646297806
2013-09-17,1,136.118044538363,0,5,13.1375,10,14,3.7,4,6.5,84,15.1,6.8,5.4,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Dienstag","Brot","Sep","38",0,10.3539966997413
2013-09-18,1,152.255085210606,0,4,13.05,9,6.9,0,0,6.1,84,15,7.1,4.7,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brot","Sep","38",0,10.4218160899274
2013-09-19,1,148.674992078993,0,5,14.8375,11,10.5,1.3,4,6.4,85,17.3,5.2,3.9,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Donnerstag","Brot","Sep","38",0,12.4568687195629
2013-09-20,1,110.159250328825,0,7,13.525,6,4.9,0,0,0.6,93,14.2,9.3,6.9,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Freitag","Brot","Sep","38",0,11.7039073131859
2013-09-21,1,178.263887943827,0,7,15.35,9,8.4,0,0,1.1,86,17.3,9.2,6.8,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Samstag","Brot","Sep","38",1,13.4422223114917
2013-09-22,1,86.6668973821597,0,6,17.1375,14,13.2,0.1,4,1.9,88,18.6,12.3,11.3,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Sonntag","Brot","Sep","38",1,15.2049536015841
2013-09-23,1,111.128410563554,0,7,17.3125,14,13.2,0,4,1.3,86,18.3,13.9,13.1,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Montag","Brot","Sep","39",0,15.4436343408702
2013-09-24,1,139.64144576808,0,8,15.7375,10,8.7,0,0,1.8,82,16.9,8.9,4.4,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Dienstag","Brot","Sep","39",0,13.7989440126773
2013-09-25,1,117.94119333604,0,6,13.5375,7,9.3,16.7,4,1.3,84,15.1,8.6,4.4,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Regen","Mittwoch","Brot","Sep","39",0,11.4747217346335
2013-09-26,1,203.314345156607,0,1,12.9875,12,13.3,1,4,9.2,80,13.8,6,3.8,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Donnerstag","Brot","Sep","39",0,9.82855770776721
2013-09-27,1,135.507291692088,0,5,13.0125,8,8.6,0.7,4,4.3,88,15,5.7,3.2,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ereignisse der letzten Stunde, aber nicht zur Beobachtungszeit","Freitag","Brot","Sep","39",0,10.5748414091124
2013-09-28,1,134.613756840197,0,0,13.1,8,6.8,0,0,9.9,81,14.2,4,1.7,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Samstag","Brot","Sep","39",1,10.688618227505
2013-09-29,1,68.6316896995448,0,3,14.175,12,11.9,0,0,9.8,79,15.3,5.7,1.7,59520,29594,2.01121849023451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nischt","Sonntag","Brot","Sep","39",1,11.4266993785303
2013-09-30,1,156.502435955326,0,1,12.825,14,11.9,0,0,10.1,74,13.9,8.2,5.1,59520,29594,2.01121849023451,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Nischt","Montag","Brot","Sep","40",0,9.32317824060497
2013-10-01,1,123.397540137977,0,0,12.9125,13,10.2,0,0,9.9,74,13.7,5.1,2,51440,24341,2.11330676636128,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Dunst, Rauch, Staub oder Sand","Dienstag","Brot","Okt","40",0,9.5804601431574
2013-10-02,1,196.720969158391,0,1,12.7,10,9.8,0,0,10.2,75,13.9,5.9,1.8,51440,24341,2.11330676636128,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Nischt","Mittwoch","Brot","Okt","40",0,9.77431806535302
2013-10-03,1,75.2337302417469,0,0,11.7625,12,13.2,0,0,9.6,63,13.5,5.2,3,51440,24341,2.11330676636128,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"Dunst, Rauch, Staub oder Sand","Donnerstag","Brot","Okt","40",0,8.17994840529584
